timestamp,open,close,high,low,volume
2018-11-19,163.5,164.86,165.74,160.96,12989390
2018-11-12,161.76,164.26,166.5,159.4,12862090
2018-11-05,158.0,161.74,161.88,155.12,15180271
2018-10-29,158.0,157.94,160.78,156.1,14184375
2018-10-22,162.0,158.72,162.32,155.42,18420031
2018-10-15,168.48,160.4,172.3,160.4,13706309
2018-10-08,179.34,168.26,181.8,165.26,13974133
2018-10-01,178.38,178.1,184.88,177.0,12359159
2018-09-24,177.3,177.9,179.68,171.56,12311717
2018-09-17,170.02,177.82,177.82,169.0,17728752
2018-09-10,165.68,170.2,171.28,165.1,9505312
2018-09-03,166.2,165.94,169.44,162.52,8567097
2018-08-27,159.4,165.66,169.0,157.84,12939785
2018-08-20,156.44,159.5,161.36,155.62,10149537
2018-08-13,152.0,155.16,157.44,150.24,16435305
2018-08-06,163.16,152.0,164.6,148.74,13881779
2018-07-30,163.78,163.12,163.78,158.54,10812627
2018-07-23,159.5,163.64,164.0,158.08,9047420
2018-07-16,158.5,159.46,163.07,154.6,13502137
2018-07-09,154.27,158.02,161.36,154.02,13361162
2018-07-02,151.8,154.27,155.0,150.41,15205455
2018-06-25,157.5,151.84,159.44,148.47,16550210
2018-06-18,169.1,157.74,170.69,151.0,21995093
2018-06-11,171.44,168.57,173.32,168.51,11749460
2018-06-04,162.81,168.86,173.75,161.52,18086125
2018-05-28,163.0,162.0,166.22,161.0,16515256
2018-05-21,163.16,162.85,164.9,159.05,13354042
2018-05-14,157.79,162.5,164.26,155.97,23464446
2018-05-07,154.01,157.88,158.69,154.0,19467347
2018-04-30,163.5,153.8,164.17,153.18,19079306
2018-04-23,152.41,163.45,163.45,150.9,19944461
2018-04-16,148.0,151.81,153.69,143.19,17040887
2018-04-09,150.0,147.11,155.25,138.63,28965498
2018-04-02,144.2,150.42,153.7,141.6,12861266
2018-03-26,147.83,143.5,148.96,141.55,13135754
2018-03-19,153.5,148.54,154.44,143.61,20604495
2018-03-12,145.03,153.0,155.79,145.03,30971897
2018-03-05,143.72,145.55,147.4,143.09,14719690
2018-02-26,149.44,144.45,150.9,141.63,18749265
2018-02-19,150.0,148.56,156.0,146.15,20910138
2018-02-12,139.05,149.24,150.0,138.96,21766517
2018-02-05,145.89,137.95,148.0,137.77,25862276
2018-01-29,153.3,146.14,154.9,145.38,14678716
2018-01-22,155.0,153.93,157.44,150.05,18463637
2018-01-15,152.82,154.95,155.81,148.12,16519301
2018-01-08,147.17,153.59,153.91,145.03,12521836
2018-01-01,147.35,146.46,153.02,146.1,11952465
2017-12-25,146.42,147.22,149.3,144.65,9576378
2017-12-18,142.0,146.5,146.95,140.23,11637600
